Telugu_sentence,English_sentence,source
కాని క్రమేపి జీవులలో సంక్షిష్టత పెరిగేకొలది,But gradually the narrowness of the organisms increases,indic2012
వివిధ రకాల భాగాలు ప్రత్యేక విధులను నిర్వహించడానికి అనువుగా మార్పు చెందుతాయి.,Different types of parts can be modified to perform special functions.,tides
ఉదాహరణకి అమీబా ఆహార సేకరణ కొరకు శరీర ఉపరితలం నుండి వేళ్ళవంటి మిద్యాపాదాలను ఏర్పాటు చేసుకుంటుంది.,"For example, an amoeba develops finger-like metapods from the body surface to collect food.",ted
ఈ మిద్యాపాదాలను ఆహారం చుట్టూ వ్యాపింపజేసి ఆహారపు రిక్తికగా మారుస్తుంది.,These midipadas spread around the food and convert it into a food cavity.,tides
ఆహార రక్తికలో సంక్షిష్ట ఆహార పదార్థాలు సరళవదార్థాలుగా విడగొట్టబడిన తరువాత కణ(్రవ్యంలోకి వ్యాపనం చెందుతాయి.,"In the alimentary canal, digested food substances are broken down into simple substances and then diffuse into the cell tissue.",tides
జీర్ణం కాని పదార్థం కణం ఉపరితలానికి చేరి అక్కడ నుండి వెలుపలికి పంపబడుతుంది.,Undigested material reaches the cell surface and is excreted from there.,tides
ఏకకణ జీవి అయిన పారమీషియంకి నిర్ధిష్టమైన ఆకారం ఉంటుంది.,"A single-celled organism, Paramecium has a definite shape.",ted
ఒక ప్రత్యేకస్థానం నుండి ఆహారం గ్రహించబడతుంది.,Food is absorbed from a specific location.,indic2012
శరీరం అంతా వ్యాపించి ఉన్న శైలికల కదలిక వలన ఆహారం ఆ ప్రత్యేక స్థానాన్ని చేరుకుంటుంది.,Movement of the stylets spread throughout the body helps the food reach that particular spot.,tides
అక్కడ నుండి శరీరం లోపలికి వెళ్తుంది.,From there it goes inside the body.,tides
ఆ భాగాన్ని కణముఖం (Cytostome) అంటారు.,That part is called cytostome.,ted
పారామీషియంలో కణముఖాన్ని గుర్తించండి.,Identify the cell surface in Paramecium.,ted
"పటం-8: పారామీషియం, అమీబాలో పోషణ","Figure-8: Nutrition in Paramecium, Amoeba",tides
కస్కుటాలో పరాన్నజీవ పోషణ,Parasitic nutrition in Cuscuta,tides
బంగారు తీగ Ee (Cuscuta) ప్రజాతికి చెందిన ఆకులు లేకుండా తీగలుగా చుట్టుకుంటూ పెరిగే పత్రరహిత పరాన్నజీవ మొక్క ఇది కన్వల్యుయేసి కుంటుంబానికి చెందినది.,"Golden vine Ee (Cuscuta) is a leafless, leafless parasitic plant belonging to the family Convoluaceae.",tides
"ఈ ప్రజాతిలో దాదాపు 170 రకాల తీగ మొక్కల జాతులు ప్రపంచ వ్యాప్తుగా సమశీతోష్ణ, ఉష్ణమండల ప్రాంతాల్లో వ్యాపించి ఉన్నాయి.",There are about 170 species of vines in this genus distributed throughout the world in temperate and tropical regions.,tides
చాలా జాతులు వాటి అతిధేయ మొక్కలతో సహా కొత్త ప్రాంతాల్లోకి ప్రవేశించాయి.,Many species have entered new areas including their host plants.,ted
బంగారు తీగ లేదా డాడర్ అని పిలువబడే ఈ మొక్కలో పత్రహరితం ఉండదు.,"Called golden vine or dadar, this plant has no foliage.",ted
కస్కుటా రిఫ్లెక్సాలో చాలా తక్కువ మొత్తంలో పత్రరహితం ఉంటుంది.,Cuscuta reflexa contains a very small amount of undocumented.,tides
ఇది చూషకాలు (Haustoria) ద్వారా ఆహారాన్ని,It feeds through suckers (Haustoria).,tides
పటం-9: కస్కుటాలో హాస్తోరియాలు సేకరిస్తుంది.,Figure-9: Collecting haustoria in Cuscuta.,indic2012
హాస్టోరియాలు వేళ్ళమాదిరిగా ఉండి అతిథేయి కణజాంలో చొచ్చుకొనిపోతాయి.,The haustoria are finger-like and penetrate the host tissue.,indic2012
ఒక్కొక్కసారి అతిథేయిని చంపేస్తాయి కూడా.,They even kill the host once in a while.,ted
"డాడర్ కాండం సన్నగా పొడవుగా నారింజ, లేత గులాబి, పసుపు లేదా గోధుమ రంగులోగాని ఉంటుంది. ","Dadar stems are thin and long and can be orange, light pink, yellow or brown in color.",tides
డాడర్ పుష్పాలు బొడిపెలు రూపంలో గుంపులు గుంపులుగా ఉంటాయి.,Dadar flowers are clustered in the shape of a bell.,indic2012
పసుపు లేదా తెలుపు రంగులో ఆకర్షక పత్రాలు ఉండే తమ్మెలు గంట ఆకారంలో (సంయుక్త అకర్షక పత్రాలు) ఉంటాయి.,Bell-shaped bell-shaped (composite fascicles) with yellow or white fascicles.,ted
పత్రాలు సన్నటి పొలుసుల మాదిరిగా క్షీణించి ఉంటాయి.,Leaves are degenerate like thin scales.,ted
డాడర్ విత్తనం మొలకెత్తినప్పుడు అంటువేరు (Anchoring root) ఏర్పడుతుంది.,Anchoring root is formed when dodder seed germinates.,tides
తరువాత సన్నటి పొడవైన కాండం సర్పిలాకారంలో ఎదుగుతూ అతిధేయి మొక్కను చేరేవరకు పెరుగుతుంది.,Then the slender long stem grows in a spiral until it reaches the host plant.,ted
తరువాత అతిధేయి కాండాన్ని పెనవేసుకొని హాస్టోరియాలను కాండంలోకి చొప్పిస్తుంది.,The host then intertwines the stem and inserts the haustoria into the stem.,tides
హాస్టోరియాలు అతిధేయి దారువు నుండి నీటిని మరియు పోషక కణజాలం నుండి పోషకపదార్థాలను సేకరిస్తాయి.,The haustoria collect water from the host and nutrients from the host tissue.,ted
డాడర్ కాండం అతిధేయి కాండంతో సంబంధం ఏర్పరచుకోగానే డాడర్ మొక్క వేర్లు కుళ్ళిపోతాయి.,The roots of the dodder plant rot when the dodder stem makes contact with the host stem.,indic2012
డాడర్ మొక్క పెరిగే కొలదీ నూతన వోస్టోరియాలు అతిధోయ వెొంక్కతో సంబంధాల్ని పెంచుకుంటాయి.,"As the dodder plant grows, new vostoria develop relationships with the host plant.",ted
కాండం తీగలా అతిశథేయ మొక్క చుట్టూ మెలికలు తిరిగిన తరువాత పక్కనున్న మరొక కాండాన్ని చుట్టి పెనవేసుకొని పోవడం వలన అతిథేయ మొక్కపై మొత్తం వల మాదిరిగా ఆక్రమించి జాలాకారంగా కనబడతుంది.,"The stem twists around the host plant like a vine and then intertwines with another adjacent stem, enclosing the entire host plant like a net, giving it a net-like appearance.",tides
మీ పరిసరాలలో ఉండే పరాన్న జీవ మొక్కలను పరిశీలించండి. లక్షణాలు రాయండి.,Check out the parasitic plants in your neighborhood. Write the characteristics.,ted
మానవునిలో జీర్ణవ్యవస్థ,Digestive system in human,tides
మానవ జీర్ణ వ్యవస్థ చాలా సంక్షిష్టమైనది.,The human digestive system is very narrow.,indic2012
ఇందులో వివిధ రకాల అవయవాలు జీర్ణరసాలు మరియు ఎంజైముల,It contains different types of organs like digestive juices and enzymes,tides
సహాయంతో వివిధ విధులను నిర్వహిస్తుంటాయి.,Various functions are performed with the help of,ted
మానవ జీర్ణవ్యవస్థ బొమ్మను పరిశీలించండి.,Consider a diagram of the human digestive system.,ted
భాగాల పేర్లు రాయండి.,Write the names of the components.,tides
పటం-10: మానవుని జీర్ణవ్యవస్థ మానవునిలో ఆహారనాళం (Alimentary canal),Figure-10: Human Digestive System Alimentary canal in human,tides
పొడవైన గొట్టంవంటి నిర్మాణం.,A long tubular structure.,tides
ఇది నోటినుండి పాయువు వరకు వ్యాపించి ఉంటుంది.,It spreads from the mouth to the anus.,indic2012
ఆహారనాళంలో వివిధ రకాల భాగాలను గమనించవచ్చు.,Different types of parts can be observed in the alimentary canal.,indic2012
ఆహార నాళంలో ఒక్కొక్క ప్రాంతం ఒక్కొక్క (ప్రత్యేకమైన పనిని నిర్వర్తించడానికి వీలుగా రూపొందింపబడి ఉంటుంది.,Each region of the alimentary canal is designed to perform a specific function.,ted
మనం తిన్న ఆహారం శరీరంలోపలికి వెళ్ళిన తరువాత ఏమవుతుంది?,What happens to the food we eat after it enters the body?,indic2012
ఆహార నాళంలో ఆహారం జీర్ణమయ్యే విధానం గురించి చర్చిద్దాం.,Let us discuss the process of digestion of food in the alimentary canal.,tides
మనం అనేక రకాల ఆహారపదార్థాలు తిన్నప్పటికి అవన్నీ ఒకే జీర్ణనాళం ద్వారా పంపబడతాయి.,"Although we eat a wide variety of foods, they all pass through the same digestive tract.",tides
మనం ఆహారాన్ని తీసుకునే విధానాన్ని అంతరగ్రహణం (ingestion) అంటారు.,The process by which we take in food is called ingestion.,ted
"మనం తీసుకునే ఆహారం మన శరీరం (గ్రహించడానికి,ఉపయోగించుకోడానికి వీలుగా చిన్నచిన్న అణువులుగా మార్చబడుతుంది. ",The food we eat is broken down into small molecules that our body can absorb and use.,tides
ఈ సమయంలో అనేక రకాల చర్యలు జరుగుతాయి.,During this time many types of activities take place.,indic2012
అవి ఎలా,How are they?,tides
జరుగుతాయో పరిశీలిద్దాం.,Let's see what happens.,ted
ఆహారనాళం గుండా ఆహారం వెళ్ళే విధానం మనం తీసుకున్న ఆహారం నోటిలో దంతాల ద్వారా ముక్కలుగా చేయబడి నోటిలోని,The way food passes through the esophagus is that the food we eat is broken down by the teeth into the mouth,indic2012
లాలాజలంతో కలుస్తుంది.,Mixes with saliva.,tides
"ఫలితంగా ఆహారం తడిగా, మెత్తగా జారుడు స్వభావాన్ని పొందుతుంది. ","As a result, the food acquires a moist, soft and slippery texture.",indic2012
దీనినే ముద్దగా చేయడం (1105108101) అంటాం.,This is what we call lumping (1105108101).,tides
ఇటువంటి మెత్తగా జారుడు స్వభావం కల్గిన ఆహారం ఆహారవాహిక (0650012905) గుండా జీర్ణాశయంలోకి వెళ్ళడానికి అనువుగా ఉంటుంది.,Such soft and slippery food is suitable for passing through the alimentary canal (0650012905) into the digestive tract.,tides
ఆస్యకుహరంలో ఉండే 8 జతల లాలాజల (గ్రంథుల ద్వారా,8 pairs of salivary glands (glands) in the alveoli,tides
లాలాజలనాళం,Salivary duct,tides
లాలాజలం (ప్రవించబడుతుంది.,Saliva (flowed.,tides
రెండు జతల లాలాజల (గ్రంధులు దవడల ప్రక్కన మరియు నాలుక కింద అమరి ఉంటాయి. ఒకజత గ్రంథులు అంగిలిలో అమరి ఉంటాయి.,Two pairs of salivary glands are located on the sides of the jaws and under the tongue. A single pair of glands are located on the palate.,ted
లాలాజలంలో అమైలేజ్ (టయలిన్) అనే ఎంజైమ్ ఉంటుంది.,Saliva contains an enzyme called amylase (tyalin).,ted
అమైలేజ్ ఎంజైమ్ సంక్షిష్ట కార్బో హైడ్రేట్లను సరళమైన పదార్థాలుగా మారుస్తుంది.,Amylase enzyme breaks down complex carbohydrates into simpler substances.,tides
ఎంజైమ్ల సహాయంతో సంక్షిష్ట పదార్థాలు సరళ పదార్థాలుగా విడగొట్టి శరీరం శోషించుకోడానికి అనువుగా మార్చే విధానాన్ని జీర్ణక్రియ (Digestion) అంటారు.,The process of breaking down complex substances into simple substances with the help of enzymes and making them suitable for absorption by the body is called digestion.,ted
నాలుక ఆహారాన్ని మిశ్రమంగా చేయడానికి ఆహారనాళంలోని తరవాతి భాగంలో నెట్టడానికి ఉపయోగపడుతుంది.,The tongue serves to push the food further down the esophagus to mix it up.,indic2012
ఈ పనిని నిర్వహించడానికి కింది దవడ (జంభిక) కూడా తోడ్పడుతుంది.,The lower jaw (jambhika) also helps to perform this function.,indic2012
లాలాజలం యొక్క రసాయనిక స్వభావాన్ని తెలుసుకోవడానికి లిట్మస్ కాగిపు పరీక్ష,Litmus paper test to determine the chemical nature of saliva,tides
చేద్దాం.,let's do,ted
కా కృత్యం-4. _,Ka Kritya-4. _,ted
లిట్మస్ కాగితం పరీక్ష,Litmus paper test,indic2012
“జీవక్రియలలో సమన్వయం” పాఠంలో సూచించిన విధంగా పిండి పదార్ధంపై లాలాజల,Saliva on starch as indicated in the lesson “Coordination in Metabolism”.,tides
ప్రభావాన్ని తెలిపే ప్రయోగం (కృత్య-7) చేయండి. ఫలితాల గురించి మీ తరగతిలో చర్చించండి.,Do an experiment (Exercise-7) to show the effect. Discuss the results in your class.,tides
పటం-1 1: ఆస్యకుహర,Figure-1 1: Asyakuhara,tides
అలాగే గంజితో కూడా చేయండి.,Do the same with porridge.,tides
ఏమి గమనించారు.,What did you notice?,indic2012
మెత్తటి ఆహారం లాలాజలంతో కలిసిన తరువాత ఆహారవాహికలోకి పంపబడుతుంది.,Soft food is mixed with saliva and then passed down the esophagus.,tides
ఆహారం ఆహార వాహిక గుండా ప్రయాణిస్తున్నప్పుడు అలలు లేదా తరంగాల మాదిరిగా ఉండే చలనాన్ని గమనిస్తాం.,As food travels through the alimentary canal we observe a ripple or wave-like motion.,ted
దీనినే పెరిస్టాలిక్ చలనం (Peristalic movement) అంటారు.,This is called peristaltic movement.,ted
జీర్ణాశయంలో ఆహారం జఠర రసంతో మరియు హైడ్రోక్లోరిక్ ఆమ్లం (HCDHS® కలిసి,Food in the stomach is mixed with gastric juice and hydrochloric acid (HCDHS®).,ted
చిలికినట్లవుతుంది.,It seems like it's cracked.,ted
ఈ దశలో ఆహారం అర్థఘన రూపంలో చిక్కగా ఉంటుంది.,At this stage the food thickens into a solid form.,ted
ఇక్కడ ఆహారంలోని (ప్రొటీన్లు పెప్సిన్ అనే ఎంజైమ్ సహాయంతో చిన్న చిన్న అణువులుగా విడగొట్టబడతాయి.,Here the proteins in the food are broken down into smaller molecules with the help of the enzyme pepsin.,tides
ఆహారంలో ఉండే ప్రొటీన్లు మరియు కార్బోహైడ్రేట్ అణువులు చిన్నచిన్న ముక్కలుగా విడగొట్టబడి మెత్తగా చిక్కటి రూపంలోకి మారుతుంది.,"The protein and carbohydrate molecules in the food are broken down into smaller pieces and turned into a soft, viscous form.",tides
దీనినే క్రైమ్ (Chyme) అంటారు.,This is called Chyme.,tides
జీర్ణాశయం చివర ఉండే వలయాకార సంవరిణి కండరాలు (Phyloric spinctors),Phyloric sphincters,ted
వ్యాకోచం చెందటం వలన ఆహారం జీర్ణాశయం నుండి చిన్న పేగులోకి పంపబడుతుంది.,Dilation moves food from the stomach into the small intestine.,tides
ఈ కండరాలు కైమ్ మొత్తం ఒకేసారిగా కాకుండా చిన్నచిన్న మొత్తాలుగా ఆహార పదార్థాన్ని జీర్ణాశయం నుండి చిన్న ప్రేగులోకి వచ్చేవిధంగా నియంత్రిస్తాయి.,These muscles control the movement of the chyme from the digestive tract into the small intestine in small amounts rather than all at once.,indic2012
"ఆహారనాళంలో అతి పొడవైన భాగం ZH (Small intestain). ఇందులో కార్బోహైడ్రేట్స్, (ప్రొటీన్లు మరియు కొవ్వుల జీర్ణక్రియ పూర్తవుతుంది. ","ZH (Small intestine) is the longest part of the alimentary canal. It completes the digestion of carbohydrates, proteins and fats.",tides
"ఈ చర్యలో కాలేయం, క్లోమ (గ్రంథుల నుండి వెలువడే జీర్ణరసాలు ఉపయోగపడతాయి. ","Digestive juices from the liver, pancreas (glands) are useful in this process.",tides
ఈ గ్రంథుల (Bren చిన్న ప్రేగులో SERED కల్పించడానికి దోహదపడతాయి.,These glands (Bren) contribute to the formation of SERED in the small intestine.,ted
కాలేయం ద్వారా విడుదలయ్యే పైత్యరసం కొవ్వు పదార్థాలను,Bile is a fatty substance released by the liver,tides
జీర్ణంచేసి చిన్నచిన్న రేణువులు (globules) మారుస్తుంది.,Digested and converted into small particles (globules).,ted
ఈ విధానాన్ని ఎమల్సీకరణం (Emulsification) అంటారు.,This process is called emulsification.,indic2012
క్లోమరసంలో ఉండే ట్రిప్సిన్ అనే ఎంజైమ్ ప్రొటీన్లను జీర్ణం చేయడానికి అదే విధంగా లైపేజ్ అనే ఎంజైమ్ (కొవ్వులను జీర్ణం చేయడానికి ఉపయోగపడుతుంది.,The enzyme trypsin present in the pancreas is used to digest proteins as well as the enzyme lipase (used to digest fats).,ted
"చిన్న (ప్రేగుల గోడలు ఆంత్రరసాన్ని (Intestainal juice) (స్రవిస్తాయి. ఈ (ప్రావాలు ప్రొటీన్లు మరియు క్రొవ్వులను మరింత చిన్న చిన్న అణువులుగా, శోషించడానికి వీలుగా మార్పు చెందిస్తాయి.",The walls of the small intestine secrete intestinal juice. These juices break down proteins and fats into smaller molecules that can be absorbed.,indic2012
కార్బోహైడ్రేట్స్ నోటిలో కొంతవరకు మాత్రమే జీర్ణమౌతాయి.,Carbohydrates are only partially digested in the mouth.,indic2012
జీర్ణాశయంలో మార్పులు చెందకుండా చిన్న పేగుల్లోకి చేరిన తరువాత అక్కడ FERS కలిగి ఉండటం వలన పూర్తిగా జీర్ణమవుతాయి.,"After reaching the small intestine unchanged in the digestive tract, the presence of FERS is completely digestible.",tides
ఎంజైమ్ల పట్టిక పరిశీలిద్దాం.,Let's look at the table of enzymes.,indic2012
జీర్ణవ్యవస్థలో పనిచేసే ఎంజైమ్ల పట్టికను పరిశీలించండి.,Check out the table of enzymes that work in the digestive system.,tides
వివిధ రకాల జీర్ణరసాలు మరియు ఎంజైమ్ల విధులను గురించి తరగతి గదిలో చర్చించండి.,Discuss in class the different types of digestive juices and the functions of enzymes.,indic2012
పెరిస్టాలిక్ అల ఆహారవాహిక,Peristaltic alimentary canal,ted
పటం-12: పెరిస్టాలిక్ చలనం,Figure-12: Peristaltic motion,indic2012
పట్టిక-1: జీర్ణక్రియా ఎంజైములు,Table-1: Digestive enzymes,indic2012
లాలాజల ఆస్యకుహరం లాలాజలం కార్ఫోహైడ్రేట్స్ (లాలాజల __ (గ్రంథులు పైత్యరసం యం ఆంత్రమూలం పైత్యరసం కొవ్వులు కొవ్వుల ఎమల్సీకరణ (ఎజైమ్స్ ఉండవు) (Duodenum) (కొవ్వులను చిన్న చిన్న రేణువులుగా మార్చుట),Salivary cavity Saliva Carbohydrates (Saliva __ (glands) Bile bile Colon Bile Fats Emulsification of fats (no enzymes) (Duodenum) (breaks down fats into small particles),indic2012
ట్రిప్సిన్ ఆంత్రమూలం క్లోమరసం ప్రొటీన్స్ REED),Trypsin Intestinal Pancreatic Proteins REED),tides
పెప్టిడేజె జెస్ చిన్నపేగు చిన్నపేగు ఆంత్రరసం పెప్టైడ్స్ అమైనోఆమ్లాలు,Peptidase J Small Intestine Small Intestinal Peptides Amino Acids,tides
కార్పోపైడ్రేట్స్పై చర్చజరిపే ఎంజైమ్లు ఏవి?,What are the enzymes discussed on Carbohydrates?,tides
ఏ జీర్ణరనంలో ఎంజైమ్లు ఉండవు?,Which digestion does not contain enzymes?,indic2012
(ESD చర్చ జరిపే ఎంజైమ్లు ఏవి?,(What are the enzymes involved in ESD discussion?,indic2012
జీర్ణమైన అంత్యపదార్థాలు (పేగు నుండి రక్తంలోనికి (చిన్నపేగు గోడల ద్వారా) రవాణా,Transport of digested waste (from the intestine into the blood (through the walls of the small intestine).,ted
కావడాన్ని శోషణ (Absorption) అంటారు.,This is called Absorption.,indic2012
చిన్నపేగు గోడలలో చిన్న వేళ్ళ మాదిరిగా ఉండే నిర్మాణాలు కనబడతాయి.,Small finger-like structures are seen in the walls of the small intestine.,indic2012
వీటిని సూక్ష్మచూషకాలు (Vill) అంటారు.,These are called Vills.,ted
ఇవి చిన్న పేగుల ఉపరితల వైశాల్యాన్ని పెంచుతాయి.,They increase the surface area of the small intestine.,ted
అందువల్ల శోషణ సామర్థ్యం పెరుగుతుంది.,Hence the absorption capacity increases.,tides
రక్తనాళాలు మరియు లింఫ్ గ్రంథులు సూక్ష్మ చూషకాలతో కలిసి జాలాకారంగా వల మాదిరిగా ఏర్పడతాయి.,The blood vessels and lymph glands form a net-like network of microscopic suckers.,indic2012
జీర్ణమైన అంత్యపదార్థాలు మొదట సూక్ష్మచూషకాలలోకీ అక్కడి నుండి రక్తనాళాలు మరియు లింప్ నాళాలలోకీ శోషించబడతాయి.,Digested waste material is first absorbed into the capillaries and from there into the blood vessels and lymph vessels.,indic2012
అంటే జీర్ణమైన ఆహార పదార్థాన్ని చిన్న (ప్రేగుల గోడలు గ్రహిస్తాయన్నమాట.,It means that the digested food material is absorbed by the walls of the small intestine.,ted
జీర్ణమైన ఆహారం అధికమొత్తంలో రక్తం ద్వారా శరీరంలోని ఇతర భాగాలకు తీసుకొనివెళ్ళడానికి దోహదపడతాయి.,A large amount of digested food is transported through the blood to other parts of the body.,indic2012
జీర్ణకాని మిగిలిన ఆహారపదార్థం పెద్ద (HSE పంపబడుతుంది.,The remaining undigested food material is sent to the large (HSE).,tides
తరువాత వ్యర్థపదార్థాలు పాయువు ద్వారా,The waste is then passed through the anus,ted
బయటికి నెట్టబడుతాయి.,are pushed out.,ted
పాయువు ఆహారవాహిక యొక్క చివరి భాగం పాయువు ద్వారా,Anus The last part of the alimentary canal is through the anus,tides
"జీర్ణంకాని వ్యర్థపదార్థాలను తొలగించడాన్ని మలవిసర్జన అంటారు. పాయువు ద్వారా విసర్జించబడే పదార్థంలో స్వల్పపరిమాణంలో ఇంకా కొన్ని (ప్రొటీన్లు, కొవ్వులు, కార్బోహైడ్రేట్లు ఉంటాయి. ","Excretion is the elimination of undigested waste. Small amounts of other substances (proteins, fats, carbohydrates etc.) are excreted through the anus.",indic2012
జీర్ణవ్యవస్థకు సంబంధించిన మరిన్ని వివరాలను జీవక్రియలలో సమన్వయం,More details about the digestive system are coordinated in metabolism,ted
పాఠంలో చర్చిద్దాం.,Let's discuss in the lesson.,ted
మానవుని జీర్ణవ్యవస్థ ఫ్లోచార్జ్ మానవుని జీర్ణవ్యవస్థను,Human Digestive System FlowCharge Human Digestive System,indic2012
తెలియజేసే Porgy పరిశీలిద్దాం.,Let's take a look at the telling Porgy.,ted
జీర్ణక్రియా విధానం గురించి నీవు ఏమనుకుంటున్నావు?,What do you think about the digestive system?,indic2012
జీర్ణక్రియలో జరిగే ప్రధాన దశలు ఏవి?,What are the main steps in digestion?,tides
పైలోరిక్ జీర్ణాశయం,Pyloric stomach,ted
౬ కార్చియాక్ జీర్ణాశయం ఇ ఆహారవాహిక,6 Carchial digestive tract e Esophagus,tides
అంత్రమూలం || —— చిన్నపేగు —_ పెద్దపేగు,Antramula || —— small intestine —_ large intestine,indic2012
/ \ పాయువు ఈ పురీషనాళం ౬ /,/ \ the anus is the rectum 6 /,tides
బైల్గ్రంథి,Bile gland,ted
క్లోమ(గంథి,Pancreas,tides
ఆహార వాహికకు సంబంధించిన ఆరోగ్యకర అంశాలు,Health aspects of the alimentary canal,ted
మనం తీసుకునే ఆహారం పైన మన ఆహారవాహిక పనితీరు ఆధారపడి ఉంటుంది.,The functioning of our digestive system depends on the food we eat.,tides
కొన్ని సందర్భాలలో మనం తీసుకునే మితిమీరిన ఆహారం ఆహారవాహికపై (ప్రభావం చూపుతుంది.,In some cases the excessive food we eat affects the alimentary canal.,tides
అటువంటి సందర్భంలో మనం అనారోగ్యంగా ఉండడంకాని లేదా అజీర్ణంతో బాధపడడం చూస్తుంటాం.,In such a case we find ourselves sick or suffering from indigestion.,ted
జీర్ణాశయం నుండి అవసరమైన పదార్థాలనుకానీ హానికరమైన వదార్థాలనుకానీ తొలగించుకోడానికి మన శరీరం పాటించే (ప్రక్రియయే వాంతి (vomiting).,Vomiting is the process of our body to remove the necessary substances as well as harmful substances from the digestive tract.,tides
వాంతి వచ్చే సమయంలో జీర్ణాశయంలో మరియు ఆహారవాహికలో పెరిస్టాలిక్ చలనం తిరోగమనంలో వెనకకి జరగటం వలన ఆహారం నోటినుండి బయటకు నెట్టబడుతుంది.,During vomiting food is pushed out of the mouth as peristaltic movement in the stomach and esophagus occurs retrogradely.,indic2012
వాంతులు జరగడానికి అనేక కారణాలు ఉన్నప్పటికీ ఒక ముఖ్యమైన కారణం అతిగా తినటం.,"Although there are many causes of vomiting, one important cause is overeating.",indic2012
"తిన్న ఆహారంలో కొవ్వుశాతం ఎక్కువగా ఉన్నప్పుడు, జీర్ణంకానప్పుడు, విషతుల్యమైన ఆహారాన్ని తీసుకున్నప్పుడు కూడా వాంతులు అవడం సర్వసాధారణ విషయం.","Vomiting is common when food is high in fat, undigested, or toxic.",indic2012
మనం ఎక్కువ రోజులపాటు కొవ్వుతో కూడిన ఆహారపదార్థాలను తిన్నప్పుడు,When we eat fatty foods for long days,tides
"సాధారణంగా పైత్యంతో, పసరుతో కూడిన వాంతులతో బాధపడుతుంటాం. ",Usually we suffer from bilious and purulent vomiting.,tides
ఎక్కువగా కొవ్వు పదార్థాలను తిన్నప్పుడు కాలేయం కొవ్వును తట్టుకునే శక్తిని కోల్పోతుంది.,"When you eat too much fatty foods, the liver loses its ability to tolerate fat.",tides
"అపుడు మనం తలనొప్పి, వాంతులతో బాధపడతాం.",Then we suffer from headache and vomiting.,tides
మనం తీసుకున్న ఆహారం జీర్ణంకానప్పుడు అజీర్తితో బాధపడుతుంటాం.,We suffer from indigestion when the food we eat is not digested.,indic2012
ఆరోగ్యంగా ఉన్న వ్యక్తి అజీర్తి కలగకుండా ఈ కింది జాగ్రత్తలు పాటించాలి.,A healthy person should follow the following precautions to avoid indigestion.,ted
సాధారణమైన సమతుల ఆహారాన్ని తీసుకో,Consuming a normal balanced diet,ted
" మెల్లగా, ప్రశాంతంగా తినడం", Eating slowly and calmly,tides
ఆహారాన్ని బాగా నమిలి తినడం, Chew food well,tides
తిన్న వెంటనే వ్యాయామం వంటి పనులు చేయకపోవడం,Not doing things like exercise immediately after eating,indic2012
చాలా క్షీరదాలు ఆహారం తీసుకున్న తరువాత గాఢనిద్రలో ఉండటం చూస్తుంటాం.,Many mammals go into deep sleep after eating.,tides
ఆహారం తీసుకునే విషయంలో జంతువుల నుండి మనం చాలా విషయాలు నేర్చుకోవాల్సి ఉంటుంది.,We have a lot to learn from animals when it comes to eating.,tides
జీర్ణాశయం ఆంత్రమూలంలో ఏర్పడిన పుండ్లు (ulcers) అజీర్తికి ప్రధాన కారణం.,Ulcers are the main cause of dyspepsia.,ted
"ఈ పరిస్థితిని ఎక్కువగా ఎల్లప్పుడు చికాకు, ఆందోళనతో ఉండే వారిలో చూస్తాం. ",This condition is mostly seen in people who are always irritable and anxious.,ted
"విశ్రాంతి లేకుండా పనిచేయడం, హడావిడిగా భోజనం చేయడం అజీర్తికి కారణాలు. ",Working without rest and eating in haste are the causes of indigestion.,ted
"పని ఒత్తిడి ఎక్కువగా ఉండే డాక్టర్లు, ఉపాధ్యాయులు, రాజకీయవేత్తలు, స్టాక్బ్రోకర్లు, వ్యాపారస్థులు మొదలైన వారు ఎక్కువగా అల్ఫర్లకు గురవుతుంటారు. ","Doctors, teachers, politicians, stockbrokers, businessmen etc. who have high work pressure are more prone to alfars.",tides
ఎవరైతే ప్రశాంతంగా ఎటువంటి ఒత్తిడి లేకుండా ఉంటారో వారికి జీర్ణాశయంలో పుండ్లు వచ్చే అవకాశం చాలా తక్కువ.,People who stay calm and without any stress are less likely to develop stomach ulcers.,indic2012
ఈ మధ్యకాలంలో జీర్ణాశయ అల్సర్లకు బాక్టీరియా కారణం అవుతుంది అనే అంశంపై చేస్తున్న పరిశోధనల గురించి మీరు 9వ తరగతిలో చదివారు కదా!,Did you read in class 9 about the recent research on bacteria causing stomach ulcers?,ted
ఆరోగ్యంగా ఉండాలంటే మలబద్దకం లేకుండా ప్రతిరోజు మన జీర్ణానాళాన్ని ఖాలీచేయాలి.,To be healthy we need to empty our digestive tract every day without constipation.,tides
జీర్ణంకాని ఆహారం పెద్దపేగులో చాలా రోజుల వరకు అలాగే నిల్వ ఉంటే అందులో పెరిగే బ్యాక్టీరియా విడుదల చేసే హానికరమైన పదార్థాలు రక్తంలోకి శోషించబడతాయి.,"If undigested food is stored in the large intestine for several days, harmful substances released by the bacteria growing in it are absorbed into the blood.",ted
అందువల్ల అనేక ఇతర రకాల వ్యాధులు కూడా వచ్చే అవకాశం ఉంది.,Hence many other types of diseases are also likely to occur.,ted
మన ఆహారంలో పీచుపదార్థాలు ఎక్కువగా తినటం వలన మలబద్ధకాన్ని నివారించవచ్చు.,Constipation can be prevented by eating more fiber in our diet.,indic2012
